Listening on COM7 @ 460800...
Press Ctrl+C to stop

[AUDIO] seq=224 | pcg[0]=    1547 pcg[31]=   -3735 | total=59 | crc_err=0
[BIO] seq=224 | ir[0]=     358 ecg[0]=     0 | total=59 | crc_err=0
[AUDIO] seq=225 | pcg[0]=   -4627 pcg[31]=   -1215 | total=60 | crc_err=0
[BIO] seq=225 | ir[0]=     486 ecg[0]=  3936 | total=60 | crc_err=0
[AUDIO] seq=226 | pcg[0]=   -1143 pcg[31]=       8 | total=61 | crc_err=0
[BIO] seq=226 | ir[0]=     421 ecg[0]=   626 | total=61 | crc_err=0
[AUDIO] seq=227 | pcg[0]=    3421 pcg[31]=    4139 | total=62 | crc_err=0
[BIO] seq=227 | ir[0]=     202 ecg[0]=  2184 | total=62 | crc_err=0
[AUDIO] seq=228 | pcg[0]=    4758 pcg[31]=     760 | total=63 | crc_err=0
[BIO] seq=228 | ir[0]=     333 ecg[0]=  3928 | total=63 | crc_err=0
[AUDIO] seq=229 | pcg[0]=   -5338 pcg[31]=     370 | total=64 | crc_err=0
[BIO] seq=229 | ir[0]=     333 ecg[0]=     0 | total=64 | crc_err=0
[AUDIO] seq=230 | pcg[0]=   -1399 pcg[31]=    -702 | total=65 | crc_err=0
[BIO] seq=230 | ir[0]=     462 ecg[0]=  3920 | total=65 | crc_err=0
[AUDIO] seq=231 | pcg[0]=    1488 pcg[31]=    3032 | total=66 | crc_err=0
[BIO] seq=231 | ir[0]=     442 ecg[0]=   464 | total=66 | crc_err=0
[AUDIO] seq=232 | pcg[0]=    8723 pcg[31]=   -1007 | total=67 | crc_err=0
[BIO] seq=232 | ir[0]=     238 ecg[0]=  2296 | total=67 | crc_err=0
[AUDIO] seq=233 | pcg[0]=   -8363 pcg[31]=   -6055 | total=68 | crc_err=0
[BIO] seq=233 | ir[0]=     205 ecg[0]=  3840 | total=68 | crc_err=0
[AUDIO] seq=234 | pcg[0]=   -1225 pcg[31]=    7992 | total=69 | crc_err=0
[BIO] seq=234 | ir[0]=     282 ecg[0]=     0 | total=69 | crc_err=0
[AUDIO] seq=235 | pcg[0]=    -211 pcg[31]=    2496 | total=70 | crc_err=0
