2005,229229,200129
2002,229346,200172
2041,229519,200222
2030,229675,200173
2030,229790,200197
2060,229810,200295
2038,229940,200155
2046,229843,200264
2033,229796,200288
2031,229939,200119
2073,229902,200102
2047,230005,200322
2058,229992,200226
2076,230116,200138
2093,229993,200341
2103,230167,200241
2058,230155,200182
2057,230255,200371
2089,230256,200299
1950,230292,200289
1959,230267,200323
3848,230360,200209
2239,230391,200337
2219,230370,200269
1916,230548,200317
1919,230437,200302
1927,230499,200318
1905,230506,200319
1914,230546,200274
1954,230627,200232
1989,230472,200273
1999,230178,200154
1976,229622,200088
1976,229235,199851
2029,228982,199761
1994,229051,199714
2001,229012,199822
1986,229297,199886
2029,229134,199873
2030,229311,199876
1990,229376,199945
1999,229677,199930
2029,229728,199935
2026,229878,199949
2041,229974,200089
2021,230105,199977
2013,230034,200094
2060,230053,200033
2044,230154,200126
2047,230127,200054
2058,230153,200058
2071,230245,200111
2079,230342,200074
2064,230281,200037
2062,230503,200105
2106,230496,200068
2067,230512,200032
2083,230617,200156
2080,230686,200215
2094,230754,200172
2095,230654,200182
2641,230740,200246
2733,230836,200112
2500,230844,200252
1951,230964,200125
1964,230894,200260
1925,230995,200146
1940,230981,200199
1945,230890,200193
1939,231015,200186
1941,231061,200217
1991,230905,200182
2010,230621,200034
2015,230144,199917
2028,229635,199730
2042,229644,199790
2048,229610,199844
1992,229717,199833
1995,229884,199836
2021,230035,199807
2019,230105,199839
2025,230168,199851
2035,230154,199870
2047,230254,199945
2051,230341,200040
2039,230544,199989
2047,230571,200015
2046,230655,199980
2076,230683,200106
2083,230616,199948
2047,230593,199980
2047,230699,200017
2084,230684,199946
2066,230794,200078
2073,230832,200090
2114,230973,199963
2094,230823,200106
2097,230984,200022
2072,230960,200201
2075,231089,200068
2100,231036,200087
2800,231002,200100
2911,231163,200056
2431,231205,200025
1978,231166,200098
1979,231286,200019
1897,231238,200049
1896,231225,200105
1970,231349,200067
1955,231387,200077
1966,231212,200190
1966,231200,200078
2021,230940,199945
2026,230610,199845
2012,230106,199760
2013,229932,199563
2030,229921,199573
1999,229998,199642
1997,230126,199691
1986,230229,199725
2019,230368,199755
2023,230316,199737
2001,230534,199727
2007,230602,199874
2039,230682,199879
2035,230716,199869
2037,230871,199884
2025,230870,199860
2053,230744,199898
2054,230898,199836
2047,230940,199852
2062,230952,199882
2057,230973,199860
2074,231100,199826
2079,231039,199909
2047,231145,199891
2047,231137,199913
2084,231286,199942
2022,231088,199866
2020,231335,199885
2906,231300,199898
2438,231290,199947
2425,231418,199894
1931,231395,199877
1931,231444,199972
1936,231458,199973
1909,231474,199944
1919,231493,199986
1940,231499,199949
1975,231445,199962
1979,231313,199927
1977,230875,199845
1982,230394,199581
2014,230121,199594
2008,230088,199413
2016,230109,199522
1977,230247,199482
1995,230308,199595
2000,230446,199529
1992,230488,199614
1997,230575,199661
2015,230763,199666
2036,230800,199678
2041,230933,199742
2035,230941,199707
2047,231025,199735
2057,231005,199650
2027,231050,199683
2028,231073,199716
2062,231051,199656
2076,231114,199637
2080,231202,199776
2062,231128,199717
2094,231394,199687
2094,231308,199783
2064,231480,199667
2075,231433,199797
2074,231461,199719
1968,231552,199604
1968,231525,199716
3818,231595,199790
3875,231578,199753
2217,231579,199666
1929,231612,199707
1929,231660,199744
1895,231677,199695
1939,231686,199829
1944,231637,199701
1940,231743,199756
1946,231765,199712
1981,231449,199633
2027,230949,199415
2030,230432,199389
2025,230196,199229
2037,230211,199263
2041,230237,199288
1983,230420,199389
1994,230439,199318
2006,230605,199354
2032,230711,199445
2038,230731,199418
2002,230919,199395
2036,230997,199472
2031,231124,199480
2040,231138,199510
2042,231260,199497
2056,231222,199512
2068,231286,199416
2075,231194,199474
2047,231238,199465
2092,231342,199512
2103,231324,199525
2096,231418,199468
2103,231465,199529
2081,231538,199489
2105,231556,199564
2108,231563,199575
1963,231620,199564
3866,231633,199647
3855,231644,199578
2158,231604,199571
2143,231749,199518
1925,231700,199529
1958,231687,199593
1961,231736,199593
1948,231794,199514
1950,231906,199544
1988,231852,199518
2023,231687,199605
2029,231320,199369
2042,230752,199287
2074,230541,199183
2076,230252,199144
2015,230323,199068
2019,230445,199085
2021,230531,199087
2031,230744,199250
2034,230807,199258
2025,230872,199279
2047,230817,199197
2047,231090,199289
2029,231256,199322
2037,231379,199355
2044,231411,199385
2070,231410,199220
2081,231485,199412
2036,231452,199345
2079,231471,199414
2077,231507,199382
2047,231516,199335
2047,231650,199473
2083,231701,199370
2103,231647,199418
2111,231695,199328
2072,231746,199405
2065,231773,199464
2052,231793,199475
2932,231924,199340
3041,231874,199481
2390,231929,199346
1987,231916,199424
1983,231979,199449
1912,232014,199360
1933,231908,199380
1926,232043,199338
1968,232046,199482
1975,232162,199398
1957,232017,199466
2032,231700,199272
2039,231179,199190
2029,230689,199066
2035,230493,198929
2042,230604,198902
1999,230645,199018
2012,230758,199079
1969,230944,198957
1998,231003,199176
1997,230987,199086
2004,231101,199165
2007,231175,199131
2025,231361,199170
2047,231435,199269
2055,231522,199166
2060,231434,199211
2069,231561,199191
2061,231570,199227
2082,231452,199247
2088,231551,199197
2065,231537,199260
2100,231627,199204
2107,231779,199228
2079,231691,199254
1983,231718,199189
1975,231771,199241
3526,231882,199296
3610,231899,199212
2335,231907,199318
1956,231893,199248
1958,231971,199181
1914,231927,199305
1960,232095,199260
1959,232034,199298
1988,232046,199289
1997,232136,199265
1999,231956,199217
2035,231485,199127
2032,231019,199012
2030,230632,198888
2007,230547,198865
2002,230548,198879
2012,230743,198735
2023,230761,198872
1989,230916,198908
2030,230948,198886
2031,231069,198990
2022,231194,198947
2028,231407,198977
2040,231497,199098
2047,231519,199028
2052,231638,199063
2030,231576,199066
2070,231608,199111
2077,231634,199046
2068,231634,199061
2079,231773,199155
2047,231806,199197
2092,231711,199066
2093,231851,199096
1960,232055,199171
3592,231955,199169
3669,231966,199164
2282,232013,199098
2263,232135,199216
1907,232085,199206
1937,232143,199227
1935,232080,199184
1919,232195,199250
1954,232196,199169
1951,232239,199290
1994,232204,199174
1996,231862,199077
2017,231282,198936
2057,230854,198627
2058,230730,198818
2001,230584,198702
1968,230781,198695
1969,230852,198796
2036,230903,198780
2039,231036,198810
2001,231156,198850
2042,231223,198851
2039,231317,198957
2029,231468,198992
2036,231589,199023
2036,231577,199002
2072,231630,198959
2075,231560,199066
2053,231639,198855
2090,231669,199049
2085,231650,198996
2090,231633,198993
2095,231775,199004
2078,231722,198946
2105,231946,198984
2103,231945,199037
2004,232072,199085
3245,231926,199078
3352,232000,199062
2343,232089,198979
2335,232121,198989
1935,232177,199099
1929,232194,199172
1927,232117,199072
1915,232331,199098
1940,232280,199172
1938,232301,199118
1999,232204,199036
1999,231655,198832
2006,231188,198799
2056,230750,198616
2056,230503,198649
2013,230631,198560
1993,230657,198684
1994,230644,198579
2036,230794,198638
2035,230847,198718
2024,230774,198672
2042,230971,198710
2036,231082,198685
2038,231108,198821
2040,231321,198786
2038,231429,198927
2075,231519,198836
2078,231554,198846
2061,231521,198933
2066,231536,198870
2068,231551,198809
2074,231703,198886
2062,231786,198892
2070,231809,198916
2114,231871,198946
2123,231970,198921
2102,231908,199047
2112,232028,199016
2115,232086,199051
2103,232210,198993
2103,232198,199041
1963,232160,199034
3929,232270,199077
3908,232278,199049
2164,232324,199089
1929,232313,199047
1924,232335,198995
1946,232403,199006
1956,232423,199039
1942,232452,199115
1990,232480,199101
1985,232417,198983
2010,232078,199008
2042,231523,198758
2040,231020,198718
2070,230724,198586
2075,230850,198530
2026,230829,198559
2039,230898,198556
2040,230863,198614
2041,231017,198473
2032,231062,198719
2034,231141,198691
2071,231111,198615
2072,231346,198641
2044,231442,198825
2072,231452,198780
2070,231565,198755
2072,231639,198711
2062,231676,198803
2070,231632,198798
2104,231648,198821
2103,231600,198744
2084,231686,198752
2110,231770,198770
2111,231764,198796
2118,231864,198819
2097,232313,199047
2100,231997,198777
2138,231975,198713
2139,232074,198856
2104,232045,198892
2000,232073,198800
2003,232147,198769
3682,232262,198829
3763,232138,198948
2284,232208,198791
1965,232340,198874
1971,232359,198904
1919,232466,198908
1955,232407,198808
1957,232395,198811
1986,232352,198860
1997,232436,198865
1987,232125,198697
2026,231651,198545
2032,231079,198411
2039,230772,198370
2025,230797,198277
2023,230597,198343
2021,230781,198310
2023,230797,198367
1986,230776,198329
2015,230724,198361
2015,230900,198321
2026,230943,198418
2039,231070,198405
2039,231163,198418
2067,231225,198460
2063,231339,198466
2015,231390,198372
2045,231411,198564
2047,231414,198500
2064,231444,198467
2056,231435,198516
2062,231509,198574
2114,231605,198588
2111,231630,198523
2065,231833,198608
2070,231780,198522
2065,231809,198633
2106,231869,198598
2382,231875,198639
2453,232001,198615
2666,232108,198609
2611,232130,198596
1976,232236,198690
1928,232268,198645
1921,232206,198741
1943,232353,198723
1950,232367,198699
1964,232382,198813
1990,232340,198772
1983,232316,198789
2029,231950,198725
2031,231327,198461
2033,231052,198240
2037,230937,198320
2039,230935,198341
1997,230870,198337
2012,230903,198287
2007,231040,198349
1994,231097,198391
2008,231158,198384
2003,231152,198416
2084,231369,198409
2083,231439,198399
2047,231625,198431
2044,231689,198482
2037,231792,198592
2056,231755,198540
2064,231765,198552
2062,231896,198548
2140,231788,198539
2132,231969,198575
2053,232102,198635
2080,232137,198649
2081,232112,198558
2074,232108,198665
2087,232333,198710
2125,232342,198642
3225,232362,198645
3129,232414,198722
2041,232434,198642
1928,232522,198761
1912,232499,198784
1950,232447,198703
1948,232583,198653
1948,232597,198792
1972,232583,198724
1969,232467,198640
2007,232120,198468
2029,231641,198474
2024,231135,198302
2056,230975,198102
2055,230863,198188
1990,230916,198252
2000,230923,198256
1995,230952,198231
1998,231121,198294
1992,231126,198368
1997,231200,198314
2047,231229,198370
2053,231496,198461
2030,231708,198471
2047,231777,198404
2046,231842,198440
2071,231849,198484
2056,231758,198293
2056,231823,198458
2116,231859,198459
2125,231978,198505
2082,232103,198472
2085,232073,198425
2081,232218,198533
2106,232185,198557
1971,232275,198682
1967,232356,198575
3786,232435,198584
3874,232385,198556
2280,232434,198633
1927,232448,198544
1920,232595,198611
1941,232531,198611
1913,232636,198693
1914,232692,198630
1972,232656,198630
1967,232674,198745
1983,232436,198526
2023,231833,198411
2024,231429,198307
2058,231146,198146
