ECG,RED,IR,PCG
2234,103660,73810,0
2220,103630,73795,0
2212,103660,73817,0
2148,103613,73837,0
2224,103638,73824,0
2204,103669,73768,0
2220,103614,73768,0
2220,103632,73839,0
2220,103620,73804,0
2226,103663,73758,0
2229,103614,73827,0
2224,103660,73816,0
2224,103608,73815,0
2221,103579,73802,0
2216,103698,73795,0
2230,103643,73806,0
2192,103646,73806,0
2216,103613,73780,0
2216,103645,73829,0
2208,103679,73792,0
2202,103625,73785,0
2212,103560,73827,0
2196,103666,73813,0
2192,103645,73825,0
2194,103649,73795,0
2202,103615,73780,0
2196,103616,73872,0
2168,103651,73829,0
2164,103657,73778,0
2170,103596,73823,0
2184,103670,73801,0
2176,103610,73836,0
2224,103617,73804,0
2228,103659,73800,0
2230,103640,73817,0
2224,103664,73808,0
2226,103601,73812,0
2224,103649,73792,0
2236,103667,73808,0
2220,103641,73783,0
2214,103622,73836,0
2214,103563,73833,0
2256,103702,73794,0
2210,103654,73809,0
2212,103624,73800,0
2210,103641,73821,0
2200,103599,73837,0
2232,103681,73792,0
2216,103622,73718,0
2212,103607,73858,0
2216,103663,73808,0
2252,103624,73823,0
2224,103593,73794,0
2234,103657,73782,0
2212,103603,73862,0
2220,103615,73798,0
2216,103642,73779,0
2210,103624,73821,0
2212,103655,73780,0
2210,103611,73805,0
2192,103560,73849,0
2172,103689,73793,0
2176,103622,73811,0
2170,103563,73803,0
2202,103644,73825,0
2189,103609,73847,0
2204,103679,73815,0
2205,103657,73832,0
2208,103628,73812,0
2214,103607,73811,0
2216,103675,73817,0
2216,103660,73774,0
2218,103652,73784,0
2216,103596,73792,0
2228,103563,73856,0
2213,103679,73816,0
2214,103633,73833,0
2192,103599,73789,0
2184,103633,73831,0
2196,103602,73846,0
2192,103657,73807,0
2186,103617,73754,0
2166,103590,73850,0
2160,103637,73831,0
2146,103615,73819,0
2140,103598,73810,0
2142,103672,73792,0
2138,103612,73838,0
2104,103617,73841,0
2132,103609,73760,0
2130,103621,73846,0
2080,103647,73788,0
2080,103603,73838,0
2082,103542,73836,0
2072,103671,73812,0
2098,103632,73811,0
2108,103570,73796,0
2109,103619,73835,0
2120,103591,73841,0
2130,103657,73832,0
2156,103612,73750,0
2148,103606,73838,0
2182,103614,73840,0
2194,103611,73810,0
2224,103634,73772,0
2261,103595,73829,0
2306,103643,73818,0
2362,103584,73841,0
2422,103557,73814,0
2484,103696,73789,0
2559,103608,73816,0
2636,103620,73842,0
2720,103619,73807,0
