ECG,RED,IR,PCG
1986,108657,75579,0
2000,108657,75579,0
2072,108657,75579,0
2022,108677,75539,0
2034,108677,75539,0
2116,108677,75539,0
2112,108677,75539,0
2068,108677,75539,0
2068,108677,75539,0
2084,108677,75539,0
2176,108677,75584,0
2128,108601,75520,0
2196,108601,75520,0
2146,108601,75520,0
2210,108601,75520,0
2156,108601,75520,0
2218,108601,75520,0
2242,108601,75520,0
2194,108659,75582,0
2200,108659,75582,0
2264,108659,75582,0
2240,108659,75582,0
2240,108659,75582,0
2240,108659,75582,0
2244,108659,75582,0
2336,108680,75624,0
2288,108657,75630,0
2256,108707,75590,0
2196,108662,75602,0
2192,108692,75585,0
2185,108655,75554,0
2188,108610,75608,0
2188,108727,75578,0
2220,108668,75614,0
2170,108690,75580,0
2188,108672,75615,0
2198,108684,75598,0
2216,108664,75556,0
2172,108660,75636,0
2208,108708,75615,0
2264,108670,75626,0
2208,108695,75579,0
2242,108676,75533,0
2208,108643,75637,0
2232,108730,75598,0
2280,108665,75620,0
2218,108701,75591,0
2234,108658,75582,0
2276,108624,75603,0
2248,108729,75602,0
2308,108669,75639,0
2250,108684,75607,0
2264,108677,75602,0
2278,108625,75597,0
2296,108687,75588,0
1638,108664,75635,0
2289,108717,75593,0
2336,108709,75656,0
2288,108670,75654,0
2308,108652,75648,0
2260,108660,75654,0
2269,108683,75621,0
2272,108687,75682,0
2309,108724,75645,0
2308,108679,75678,0
2306,108716,75642,0
2304,108697,75619,0
2304,108646,75677,0
2298,108725,75658,0
2292,108694,75672,0
2290,108715,75651,0
2285,108677,75673,0
2284,108640,75660,0
2258,108723,75650,0
2272,108682,75713,0
2274,108741,75666,0
2272,108699,75683,0
2268,108708,75646,0
2272,108690,75618,0
2272,108672,75714,0
2264,108747,75668,0
2268,108688,75693,0
2264,108711,75669,0
2264,108703,75643,0
2228,108708,75662,0
2232,108708,75662,0
2226,108708,75662,0
2232,108708,75662,0
2238,108708,75662,0
2244,108708,75662,0
2244,108656,75676,0
2256,108656,75676,0
2264,108656,75676,0
2284,108656,75676,0
2280,108656,75676,0
2264,108656,75676,0
2278,108656,75676,0
2264,108656,75546,0
2256,108687,75608,0
2280,108687,75608,0
2253,108687,75608,0
2288,108687,75608,0
2284,108687,75608,0
2282,108687,75608,0
2282,108687,75623,0
2284,108703,75650,0
