RED,IR
26056,30194
26047,30187
26053,30193
26050,30189
26061,30190
26055,30193
26056,30189
26051,30190
26064,30196
26054,30197
26060,30198
26055,30194
26056,30194
26061,30204
26060,30197
26053,30200
26059,30206
26059,30201
26060,30210
26065,30209
26064,30204
26066,30210
26063,30211
26068,30217
26060,30209
26070,30219
26064,30217
26065,30215
26070,30218
26065,30216
26070,30218
26069,30224
26068,30225
26071,30222
26069,30228
26075,30226
26067,30223
26075,30237
26074,30236
26072,30233
26078,30233
26076,30237
26080,30247
26081,30246
26083,30244
26077,30243
26084,30251
26086,30245
26075,30246
26077,30234
26073,30220
26057,30206
26064,30183
26053,30165
26042,30155
26044,30148
26043,30130
26036,30131
26039,30130
26040,30133
26040,30134
26044,30149
26046,30150
26047,30147
26050,30151
26051,30157
26053,30162
26051,30153
26047,30151
26051,30163
26058,30152
26053,30148
26054,30154
26045,30144
26054,30155
26054,30151
26054,30154
26056,30167
26058,30168
26054,30161
26058,30169
26054,30159
26054,30168
26055,30162
26054,30160
26056,30159
26054,30163
26057,30150
26055,30158
26061,30160
26058,30154
26055,30163
26063,30163
26057,30153
26060,30169
26063,30168
26061,30163
26064,30168
26061,30166
26063,30180
26064,30165
26062,30176
26068,30179
26065,30170
26063,30178
26071,30177
26059,30183
26071,30174
26065,30181
26074,30182
26071,30184
26070,30189
26076,30186
26070,30190
26078,30188
26070,30188
26074,30197
26072,30191
26074,30189
26072,30193
26076,30205
26077,30200
26074,30203
26078,30208
26079,30206
26078,30211
26083,30211
26083,30218
26085,30218
26088,30216
26082,30215
26088,30223
26086,30218
26082,30219
26090,30226
26085,30226
26088,30230
26090,30230
26094,30231
26083,30234
26096,30240
26092,30234
26093,30247
26090,30232
26099,30243
26093,30239
26091,30239
26088,30217
26078,30204
26077,30190
26064,30161
26058,30147
26055,30135
26043,30119
26048,30121
26048,30108
26044,30112
26054,30123
26055,30122
26052,30125
26056,30136
26059,30132
26059,30142
26062,30138
26056,30141
26061,30137
26056,30131
26062,30139
26056,30126
26056,30130
26057,30134
26059,30124
26050,30131
26063,30133
26054,30133
26062,30147
26062,30138
26056,30143
26065,30145
26057,30140
26065,30147
26064,30138
26058,30136
26065,30140
26058,30139
26063,30138
26059,30132
26060,30137
26054,30138
26062,30138
26054,30139
26063,30138
26059,30136
26064,30138
26061,30141
26065,30149
26061,30141
26062,30146
26066,30142
26063,30143
26065,30158
26067,30151
26064,30149
26071,30158
26069,30152
26062,30161
26072,30159
26064,30152
26067,30168
26073,30163
26069,30157
26073,30162
26069,30164
26069,30168
26072,30172
26075,30160
26067,30166
26077,30177
26077,30165
26072,30167
26078,30170
26070,30177
26068,30180
26072,30180
26078,30182
26072,30175
26076,30190
26079,30179
26082,30180
26075,30186
26082,30189
26079,30189
26084,30188
26078,30192
26090,30199
26084,30192
26083,30203
26090,30204
26086,30196
26085,30211
26088,30205
26080,30207
26090,30208
26079,30207
26081,30190
26070,30175
26070,30154
26061,30135
26054,30123
26049,30109
26048,30090
26045,30085
26048,30081
26041,30085
26046,30085
26044,30092
26052,30094
26044,30099
26050,30109
26044,30111
26055,30109
26048,30114
26052,30113
26055,30110
26052,30105
26054,30108
26054,30106
26054,30102
26047,30102
26057,30112
26058,30109
26054,30113
26061,30118
26059,30117
26059,30117
26064,30120
26061,30112
26055,30119
26062,30112
26054,30108
26053,30117
26054,30113
26056,30108
26055,30120
26056,30114
26056,30115
26055,30116
26060,30124
26058,30118
26063,30123
26061,30119
26060,30127
26064,30125
26064,30126
26066,30128
26062,30128
26062,30132
26065,30139
26061,30131
26068,30133
26065,30134
26067,30141
26063,30135
26071,30146
26072,30145
26068,30145
26075,30145
26070,30149
26070,30151
26070,30153
26075,30156
26068,30155
26078,30153
26065,30161
26081,30164
26075,30160
26083,30170
26084,30167
26077,30164
26076,30171
26083,30164
26076,30168
26087,30177
26082,30172
26086,30182
26086,30180
26079,30183
26080,30180
26087,30189
26079,30190
26090,30194
26089,30194
26090,30192
26091,30192
26091,30206
26094,30198
26083,30188
26080,30180
26077,30154
26068,30147
26065,30123
26062,30106
26051,30091
26047,30079
26053,30074
26037,30079
26048,30074
26040,30083
26051,30087
26047,30082
26052,30101
26059,30095
26054,30105
26060,30104
26055,30103
26060,30097
